id,gid,x,y,v_x,v_y,radius,time
0,0,-1.231375,-2.520374,-1.067194,0.618557,0.200000,12.050000
1,0,2.033126,-0.837029,-1.222760,0.191450,0.200000,12.050000
4,0,-1.198015,-1.066332,-1.240658,0.349435,0.200000,12.050000
6,0,2.637273,-3.601077,-1.174248,0.530387,0.200000,12.050000
7,0,-0.480862,-1.433825,-1.253408,0.491092,0.200000,12.050000
8,0,1.598668,-2.800689,-1.242456,0.437973,0.200000,12.050000
11,0,1.727922,-0.379417,-1.321436,0.112551,0.200000,12.050000
12,0,2.723316,-1.800995,-1.253384,0.282516,0.200000,12.050000
15,0,0.169425,0.237486,-1.275790,-0.063213,0.200000,12.050000
18,0,-3.009228,-0.496540,-1.066214,0.347074,0.200000,12.050000
20,1,3.810904,-4.151828,0.028888,-1.272904,0.200000,12.050000
22,1,6.347527,-8.825160,-0.022850,-1.134831,0.200000,12.050000
24,1,5.506639,-5.526735,0.373523,-1.236406,0.200000,12.050000
26,1,7.135819,-6.006186,0.190076,-1.235156,0.200000,12.050000
27,1,4.592922,-6.819367,0.468708,-1.015568,0.200000,12.050000
28,1,4.671032,-4.788756,0.470704,-1.079447,0.200000,12.050000
29,1,3.071638,-5.628977,0.757675,-1.006257,0.200000,12.050000
32,1,5.833123,-8.015127,0.285940,-0.798832,0.200000,12.050000
33,1,7.362376,-7.244123,0.083038,-1.251497,0.200000,12.050000
34,1,5.437146,-4.775584,0.473683,-1.182406,0.200000,12.050000
36,1,6.114956,-6.407635,0.319291,-1.231689,0.200000,12.050000
38,1,7.523151,-8.245526,-0.026836,-1.120230,0.200000,12.050000
39,1,7.059925,-4.690153,0.179543,-1.276103,0.200000,12.050000
0,0,-1.284802,-2.488925,-1.068536,0.628970,0.200000,12.100000
1,0,1.971578,-0.827632,-1.230947,0.187942,0.200000,12.100000
4,0,-1.260103,-1.048852,-1.241762,0.349597,0.200000,12.100000
6,0,2.578553,-3.574437,-1.174408,0.532791,0.200000,12.100000
7,0,-0.543414,-1.409763,-1.251035,0.481224,0.200000,12.100000
8,0,1.536774,-2.778440,-1.237878,0.444967,0.200000,12.100000
11,0,1.661967,-0.373986,-1.319086,0.108616,0.200000,12.100000
12,0,2.660653,-1.786819,-1.253275,0.283513,0.200000,12.100000
15,0,0.105521,0.234344,-1.278074,-0.062858,0.200000,12.100000
18,0,-3.063515,-0.479349,-1.085729,0.343828,0.200000,12.100000
20,1,3.812414,-4.215606,0.030201,-1.275545,0.200000,12.100000
22,1,6.321385,-8.856901,-0.522850,-0.634831,0.200000,12.100000
24,1,5.528156,-5.585485,0.430340,-1.175005,0.200000,12.100000
26,1,7.144525,-6.067193,0.174134,-1.220152,0.200000,12.100000
27,1,4.612658,-6.870053,0.394707,-1.013732,0.200000,12.100000
28,1,4.694866,-4.843266,0.476676,-1.090189,0.200000,12.100000
29,1,3.110078,-5.679093,0.768805,-1.002320,0.200000,12.100000
32,1,5.851153,-8.060405,0.360587,-0.905543,0.200000,12.100000
33,1,7.365265,-7.306885,0.057786,-1.255238,0.200000,12.100000
34,1,5.460325,-4.835020,0.463572,-1.188712,0.200000,12.100000
36,1,6.130505,-6.470443,0.310976,-1.256159,0.200000,12.100000
38,1,7.520086,-8.302165,-0.061300,-1.132787,0.200000,12.100000
39,1,7.068692,-4.753602,0.175340,-1.268970,0.200000,12.100000
0,0,-1.337445,-2.459668,-1.052858,0.585147,0.200000,12.150000
1,0,1.909731,-0.818408,-1.236946,0.184473,0.200000,12.150000
4,0,-1.322241,-1.031365,-1.242757,0.349742,0.200000,12.150000
6,0,2.519825,-3.547689,-1.174545,0.534968,0.200000,12.150000
7,0,-0.606686,-1.383503,-1.265439,0.525208,0.200000,12.150000
8,0,1.475088,-2.755874,-1.233731,0.451323,0.200000,12.150000
11,0,1.596119,-0.368734,-1.316973,0.105041,0.200000,12.150000
12,0,2.597925,-1.772585,-1.254550,0.284691,0.200000,12.150000
15,0,0.041553,0.231239,-1.279360,-0.062101,0.200000,12.150000
18,0,-3.117892,-0.463912,-1.087550,0.308741,0.200000,12.150000
20,1,3.813984,-4.279502,0.031394,-1.277923,0.200000,12.150000
22,1,6.301175,-8.891058,-0.404202,-0.683134,0.200000,12.150000
24,1,5.548753,-5.645963,0.411937,-1.209568,0.200000,12.150000
26,1,7.153600,-6.127098,0.181492,-1.198091,0.200000,12.150000
27,1,4.634361,-6.920839,0.434077,-1.015723,0.200000,12.150000
28,1,4.719550,-4.895922,0.493679,-1.053130,0.200000,12.150000
29,1,3.148443,-5.731365,0.767286,-1.045426,0.200000,12.150000
32,1,5.867546,-8.113352,0.327860,-1.058948,0.200000,12.150000
33,1,7.366992,-7.369812,0.034536,-1.258535,0.200000,12.150000
34,1,5.481036,-4.892635,0.414234,-1.152316,0.200000,12.150000
36,1,6.147353,-6.528688,0.336954,-1.164895,0.200000,12.150000
38,1,7.515423,-8.359355,-0.093246,-1.143807,0.200000,12.150000
39,1,7.079697,-4.817359,0.220103,-1.275155,0.200000,12.150000
0,0,-1.390220,-2.429712,-1.055494,0.599109,0.200000,12.200000
1,0,1.847613,-0.809343,-1.242349,0.181316,0.200000,12.200000
4,0,-1.384255,-1.013960,-1.240271,0.348086,0.200000,12.200000
6,0,2.461092,-3.520842,-1.174663,0.536939,0.200000,12.200000
7,0,-0.669707,-1.357808,-1.260420,0.513902,0.200000,12.200000
8,0,1.413589,-2.733019,-1.229975,0.457101,0.200000,12.200000
11,0,1.530365,-0.363644,-1.315073,0.101792,0.200000,12.200000
12,0,2.535140,-1.758297,-1.255695,0.285758,0.200000,12.200000
15,0,-0.022438,0.228192,-1.279822,-0.060931,0.200000,12.200000
18,0,-3.173312,-0.448374,-1.108399,0.310762,0.200000,12.200000
20,1,3.815608,-4.343505,0.032480,-1.280062,0.200000,12.200000
22,1,6.286451,-8.927298,-0.294473,-0.724804,0.200000,12.200000
24,1,5.568916,-5.707485,0.403258,-1.230443,0.200000,12.200000
26,1,7.163897,-6.185559,0.205939,-1.169216,0.200000,12.200000
27,1,4.657855,-6.971701,0.469870,-1.017240,0.200000,12.200000
28,1,4.744417,-4.949248,0.497341,-1.066509,0.200000,12.200000
29,1,3.185775,-5.784333,0.746653,-1.059369,0.200000,12.200000
32,1,5.881475,-8.166530,0.278591,-1.063562,0.200000,12.200000
33,1,7.371817,-7.432931,0.096505,-1.262387,0.200000,12.200000
34,1,5.503079,-4.949622,0.440861,-1.139724,0.200000,12.200000
36,1,6.161679,-6.589368,0.286521,-1.213617,0.200000,12.200000
38,1,7.512604,-8.411473,-0.056392,-1.042348,0.200000,12.200000
39,1,7.089931,-4.880315,0.204686,-1.259122,0.200000,12.200000
0,0,-1.443109,-2.399123,-1.057790,0.611789,0.200000,12.250000
1,0,1.786552,-0.799754,-1.221236,0.191771,0.200000,12.250000
4,0,-1.446326,-0.996541,-1.241415,0.348379,0.200000,12.250000
6,0,2.402354,-3.493906,-1.174764,0.538724,0.200000,12.250000
7,0,-0.732350,-1.332617,-1.252851,0.503816,0.200000,12.250000
8,0,1.350961,-2.710568,-1.252551,0.449026,0.200000,12.250000
11,0,1.464697,-0.358702,-1.313365,0.098841,0.200000,12.250000
12,0,2.472304,-1.743961,-1.256724,0.286724,0.200000,12.250000
15,0,-0.086423,0.225223,-1.279691,-0.059373,0.200000,12.250000
18,0,-3.229503,-0.432840,-1.123811,0.310675,0.200000,12.250000
